cf,posts
Si,"difficulty understanding that making good choices involves careful consideration of future possibilities and finding better methods (i.e. progress does not come simply from adhering to established rules, methods, or procedures)"
Si,"can appear inflexible, dull, dogmatic, rigid to others. prefer to handle details themselves rather than delegate (distrustful). stick to their own plans, sometimes irrationally, even when the results come out negatively; tend to persist in what they should give up and give up on what they should persist in (stubborn)"
Si,"get easily offended if people do not honor the same principles/values as they do (nitpicky). can forcefully take over others’ responsibilities (overbearing). can overburden themselves with helping others and neglect their own health or feel guilty for having their own needs (too sacrificing)"
Si,"easily embarrassed if they “do the wrong thing”; too concerned with appearing “proper” (image conscious). high pressure to maintain inner stability can lead to irrational fear of change/risk as well as paralysis when faced with major decisions or important turning points in life. difficulty integrating knowledge that is seen as “unnecessary” or “unrealistic“"
Ne,"careless with details; dislikes procedure; averse to authority. easily embraces novelty, risk, big ideas, or sudden change. doesn’t value or easily dismisses past learning/experience. often exhibits impractical/unrealistic/speculative attitude"
Ne,"vague, impractical, ungrounded, inconsistent, irresponsible, careless, oblivious, bombastic"
Ni,"Xx is a perceiving function that relies on abstract connections. Xx speculates about potential and potential implications. Xx uses idealistic impressions or symbolic imagery to set direction. XXXXs are naturals at making intuitive connections (subconsciously). Healthy XXXXs are aspirational in wanting a higher purpose"
Ni,"Mature XXXXs are known for being insightful, wise, and earnest in their convictions. They are good at envisioning meaningful goals to strive for and dealing with potential complications. At their best, they are focused, ambitious, and disciplined in realizing their ideals."
Ni,"Immature XXXXs display the negative aspects of Xx due to living in mere abstractions of the future. They tend to be overserious, perfectionistic, have difficulty being present, and are quite unrealistic in their beliefs and expectations. (Because Xx operates closest to the unconscious mind, XXXXs are generally unaware of how they suffer from distorted perception of reality until they learn about Xx in depth.)"
Ni,"Do you feel most confident when you possess a strong sense of purpose to guide your longer term direction? Flip side: Do you easily feel adrift or malaise when you have no idea how to proceed in any given situation, due to not grasping “what really matters”? "
Ni,"Is it very important to you to have a trustworthy impression about “the grand scheme of things”? Do you naturally synthesize information to discover overarching ideas, underlying essence, or future implications? Do you have difficulty making decisions without a guiding principle/philosophy in life? "
Ni,"Are you often visualizing what would be the “ideal” state/situation? Do you think it is important to delay gratification to achieve an idealistic goal? Are you prone to perfectionism or controlling tendencies in pursuit of an ideal? Is the quality of your life determined by aspirations and/or symbolic markers of progress?"
Ni,"When feeling low, do you find yourself judging things in life as being shallow, superficial, trivial, insignificant, meaningless, or pointless? Do you suffer when your future seems uncertain, opaque, negative, or coming in below your envisioned expectations? "
Ni,"Have you ever gotten feedback about being (and/or feel sensitive to being labeled as): presumptuous, pompous, pretentious, demanding, hard to please, hard to know, vague, unrealistic, (too) intense, extreme, overserious, overthinking, unfun, humorless?"
Ni,"focus: observing context and interpreting meaning. explores meaningful patterns from different perspectives. cultivated through making visualizations based on vaguely familiar patterns. maintains a flexible and interpretive approach to life, carefully filtering words, concepts, signs, symbols, metaphors, abstractions in order to construct a personalized vision of the world"
Ni,"values knowledge/objects that have personal symbolic significance or predictive power (tend to have interests that strike others as unpredictable). driven to seek out meaning, truth, insight, knowledge. makes decisions based on extrapolating future implications. defines true knowledge in terms of understanding how meanings, perspectives, or standpoints can be manipulated or changed (mental constructs are real but arbitrarily defined, therefore a change in definition can produce a change in perspective)"
Ni,"knows that exploring perception itself: 1) strengthens the power of imagination and reveals the boundaries/limitations of what is known, 2) makes progress in the external world by pinpointing and questioning the (faulty) underlying assumptions that underpin belief systems, 3) anchors the self by imbuing personally significant concepts, ideals, values, or theories with a reality of their own, 4) reduces conflict by honoring truth and long term vision"
Ni,"defines social relationships in terms of realizing “ideals” (how people live up to their latent potential). interprets social relationships through meaningful actions that affirm the quality/strength of the relationship. inspires others by being the focal point of people’s sense of mystery regarding the unknown or unexplored aspects of human existence"
Ni,"Xx-doms are usually drawn to careers or interests that allow them to: examine and challenge unrecognized or unacknowledged aspects of reality; grapple with theory or questions surrounding language, definitions, terminology; explore creative solutions to philosophical problems; help others realize their potential; persuade people to broaden their intellectual horizons"
Ni,"have difficulty living in the present due to being future-oriented. make incorrect assumptions due to ignoring concrete facts. uncomfortable with feeling ordinary, superficial, or mediocre. avoid external influence, dismiss advice, tend to overlook important details that conflict with their perspective (tunnel vision)"
Ni,"tend to overlook practical/material needs because of excessive attention paid to inner reflection (lost in their heads). often feel isolated or detached from the physical world. difficulty understanding that making good choices involves appreciating present circumstances and being proactive in response to changes (instead of overthinking everything and only acting when it is too late, or waiting until the facts of the situation overwhelm one’s preconceived expectations)"
Ni,"difficulty seeing themselves objectively; view dogmatism in others as a weakness but cannot see it in themselves (lack of self-awareness because Xx operates subconsciously)"
Ni,"inaccessible/obsessive when engaged with passionate interests; do not involve others in activities or quests for knowledge. can appear neurotic, arrogant, aloof, or uptight to others. tend to use ironic/sarcastic sense of humor as defense mechanism"
Ni,"tend to lose interest in a subject once it becomes mainstream. shift perspectives as a way to rationalize/justify problematic behavior. tend to be drawn to people with weak J attitude as a way to feel superior through advising/counseling others"
Ni,"difficulty maintaining healthy relationships because of unrealistic ideals/expectations. high pressure to deepen knowledge means they often feel dissatisfied and drown themselves in information with no way to filter it objectively; can have difficulty properly judging which perspective is better/worse. difficulty engaging with subjects that are not personally meaningful"
Se,"not contemplative; doesn’t speculate about how things will go. no sense of aspiration; doesn’t think about calling/purpose/direction. doesn’t require structure; happy to live life by whims/urges. literal; likes handling details; enjoys mundane conversation"
Se,"self-limiting, narrow-minded, shallow, short-sighted, brash, fickle"
Se,"Xx is a perceiving function that relies on sensory experiences. Xx maintains direct relationship to the world via physical sensation. Xx uses stimulating experiences to get enjoyment from the world. XXXXs are naturals at spotting opportunities and taking advantage of them. Healthy XXXXs are real, adventurous, adaptable, sensual, entertaining"
Se,"Mature XXXXs are known for being bold, courageous, and resilient. They believe that actions speak louder than words and are good at leading the charge when the chips are down. At their best, they love a new experience and seek to achieve peak “in the zone” performance, often found doing physically expressive/challenging activities."
Se,"Immature XXXXs display the negative aspects of Xx due to taking the desire for positive sensation to unhealthy extremes. They tend to be indulgent, impetuous, evasive/negligent, and superficial, lacking the intellectual curiosity that would spur personal growth."
Se,"Do you have high tolerance for excitement and often seek out engaging and stimulating activities? Flip side: Do you easily suffer boredom, restlessness, or fear of missing out when nothing much is happening for you?"
Se,"Is it very important to you to be quick to do, join, participate, or interact without hesitation? Is having fun or experiencing pleasure your main deciding factor? Does life quickly seem empty when you can’t explore or adventure as you please? Is your initial reaction to restrictions on your movements usually knee-jerk rebellion/defiance? "
Se,"Are you playful, spontaneous, and free-spirited at heart? Are you very open to new situations and naturally say ‘yes’ to invitations? Do you like not knowing what the future holds so that it remains a surprise? "
Se,"When feeling low, do you find yourself seeking physical distractions, indulging in sensory pleasures, or purposely creating drama/excitement? Do you naturally express yourself through your physicality? Does sitting still too long to look within start to fill you with low-key dread?"
Se,"Have you ever gotten feedback about being (and/or feel sensitive to being labeled as): ostentatious, loud, a showboat, vain, impulsive, aimless, slapdash, flippant, glib, superficial, naive, childish, silly, not to be taken seriously?"
Se,"focus: observing and acting on sensory data as it comes in. engages directly with the external world as it exists in the present. cultivated through complete physical involvement in tasks. maintains a flexible response-ready approach to life (takes an action, observes immediate results, makes physical adjustments, acts again)"
Se,"values the ability and freedom to improvise (does not like to excessively plan/prepare as it decreases responsiveness). driven to seek the mental state of “flow” or being “in the zone'. makes decisions based on immediate events or feedback. defines true knowledge as concrete first-hand experience"
Se,"knows that being sensitive to the moment: 1) solves problems quickly before they spiral out of control, 2) simplifies issues that are needlessly complicated by overthinking, 3) provides a genuine appreciation for life by enjoying how it twists and turns, 4) reduces conflict by maximizing adaptability to new situations"
Se,"defines social relationships in terms of “doing” (experiencing and sharing activities together). brings energy and liveliness to social settings. interprets social relationships through physical cues and expressions (will push and prod for such feedback if necessary). inspires others by being the focal point of people’s admiration"
Se,"Xx-doms are usually drawn to careers or interests that allow them to: get immediate feedback for their actions; build skills through hands-on practice in real life situations; work to exceed their own past performance and be “on top of their game”"
Se,"have trouble grasping metaphorical, symbolic, or hidden meanings. tend to overlook personal needs/priorities because of excessive attention paid to external events. difficulty seeing that their actions have wider or longer term implications. difficulty understanding that making good choices involves carefully examining what makes behaviors existentially meaningful and significant"
Se,"rely too much on external sources for mental/social satisfaction; often dislike being alone with themselves. can appear impulsive, brash, or superficial to others. easily bored, needing situations to move quickly with enough variety to hold their attention (restless)"
Se,"tend to challenge external limits or regulations (rebellious). change priorities as quickly as conditions change (unreliable). have trouble solving underlying or intractable problems; tend to avoid issues they do not understand, especially if unrelated to their skills or interests"
Se,"high pressure to be “in the zone” means they do not handle or tolerate feelings of anxiety or inadequacy very well. difficulty seeing when they are overstimulated and close to exhaustion and have trouble developing a sense of their own limitations"
Ni,"dislikes or has poor tolerance for physical/sensory stimulation. often contemplates implications, complications, or deeper meaning. likes/needs rules; naturally respects authority; avoids risky behavior. chases random or impractical ideas; ignores concrete evidence"
Ni,"“all talk and no action”, half-baked, pretentious, insinuating, circuitous, overcomplicated, navel-gazing, cowardly, timid, conventional, inhibited, uptight"
Ne,"Xx is a perceiving function that relies on abstract possibilities. Xx generates ideas about what things can be, then transforms them. Xx uses novel ideas to promote a sense of hope and optimism. XXXXs are naturals at using unconventional ideas/approaches. Healthy XXXXs are open, encouraging, experimental, innovative "
Ne,"Mature XXXXs are known for being a positive force for change. They are trendsetters, catalysts, and agents of progress. At their best, they love a new idea and seek out the best ideas for moving forward, often inspiring people to make the world around them a better place."
Ne,"Immature XXXXs display the negative aspects of Xx due to excessive desire for hopefulness. They tend to be scattered and unpredictable, avoid facing the negative, choose the wrong path and miscalculate outcomes, or get taken by impractical ideas that lead to failure despite good intentions. "
Ne,"Do you feel that your mind is always full of very diverse ideas, hopes, aspirations, dreams, or fantasies that you believe would be interesting to pursue? Flip side: Do you easily suffer frustration or disappointment when your ideas are dismissed or unable to be fully realized?"
Ne,"Is it very important to you to be open-minded and resourceful? Do you enjoy coming up with new ideas, trends, or solutions? Do you tend to believe that old ideas/methods are stale or ineffective, often eager to try out new ones?"
Ne,"Are you a hopeful, optimistic, and encouraging person at heart? Do you quickly perk up upon hearing an interesting possibility? Are you a natural brainstormer and love bouncing/developing ideas with people?"
Ne,"When feeling low, do you find yourself trying to fight off haunting feelings of hopelessness or pessimism? Does feeling stuck in life (i.e. little possibility for change) seem quite dire to you?"
Ne,"Have you ever gotten feedback about being (and/or feel sensitive to being labeled as): impractical, lacking common sense, careless, clumsy, scattered, inconsistent, unreliable, unpredictable, irresponsible, frivolous, manipulative (in getting other people to work out the details or clean up your messes)?"
Ne,"focus: visualizing interesting patterns in the external world. adapts rapidly to sensory events by anticipating future possibilities. cultivated through extrapolating “what could/might be”. maintains a flexible response-ready approach to life, constantly connecting disparate details to construct new conceptual ideas"
Ne,"values the ability and freedom to explore new possibilities (does not like to excessively plan/prepare as it decreases responsiveness). driven to seek new knowledge, new options, new possibilities for change, new opportunities for improvement or progress. makes decisions based on which possibility seems more promising. defines true knowledge in terms of understanding how changing details can lead to different possible outcomes"
Ne,"knows that exploring possibilities: 1) solves problems creatively, sometimes tackling several seemingly unrelated problems at once, 2) improves our future prospects and moves society forward, 3) provides a genuine appreciation for life by seeing how each moment is full of promise, 4) reduces conflict by adapting to different possibilities"
Ne,"defines social relationships in terms of potential (what two people can bring into the relationship to create something new/better). brings energy and interesting ideas to social settings. interprets social relationships through symbolic details that affirm the quality/strength of the relationship (sharing meaningful rituals/activities)"
Ne,"inspires others by being the focal point of people’s hopes, dreams, or aspirations. Xx-doms are usually drawn to careers or interests that allow them to: be innovative and free to explore ideas; anticipate or catalyze new trends; find creative solutions to complex problems; help bring out people’s potential"
Ne,"have difficulty with managing details carefully or learning methodically. sometimes make faulty inferences or pursue unrealistic ideas. tend to overlook personal needs or priorities because of excessive attention paid to external events. can have tunnel vision when they are taken by an idea/possibility"
Ne,"do not invest enough in material stability or security. difficulty understanding that making good choices involves methodically examining whether behaviors will actually produce real, tangible progress or personal improvement. rely too much on external sources for mental/social satisfaction "
Ne,"can appear impulsive, impatient, scattered, unpredictable to others. too easily bored, often abandoning plans midstream (restless). tend to resist/ignore external limits or regulations (rebellious). change priorities as quickly as conditions change (unreliable)"
Ne,"more interested in exploring potential than realizing potential, i.e., have trouble implementing ideas/plans successfully. high pressure to explore novel ideas means they often overextend and commit themselves to too many things at once without completing anything satisfactorily. depend too much on others for practical/material support and therefore have trouble developing a realistic sense of their own strengths and limitations"
Si,"unimaginative, foolhardy, conventional, traditional, nitpicky, rigid, slow, too literal, closed-minded, pessimistic (wet blanket)."
Si,"rarely has any new ideas; refuses to entertain new possibilities. enjoys routine life, repetitive practice, and logistical planning. must think through every little contingency before taking action. unwillingness to dream big; no knack for big-picture thinking"
Ti,"Xx is a judging function that relies on a personal framework of knowledge. Xx uses factual knowledge and skill to prevent/avoid/solve problems. Xx uses mastery over oneself to achieve a state of self-sufficiency. XXXXs are naturals at impartial assessment of facts and problems. Healthy XXXXs are calm, capable, able to change as facts change"
Ti,"Mature XXXXs are known for being masters of their chosen craft. They are relied upon for knowledge, expertise, and troubleshooting. At their best, they dissect and analyze situations with impressive confidence, precision, and accuracy, easily coming up with elegant solutions to problems."
Ti,"Immature XXXXs display the negative aspects of Xx due to overly reductive logic and excessively critical judgment, carelessly ignoring any information that doesn’t “make sense” to them. They tend to be loners, arrogant, dismissive, or inhospitable/irresponsible in their dealings with people."
Ti,"Do you automatically figure out the mechanics/mechanisms of how things work and thereby easily troubleshoot problems with skill, precision, and accuracy? Flip side: Do you tend to feel at a distinct disadvantage in situations that seem to defy easy formulaic explanation/solutions?"
Ti,"Is it very important to you to be capable of taking care of yourself, handling problems confidently on your own, only answering to yourself? Do you aim to keep your life as simple, neat, and self-directed as possible? Is your initial reaction to “complications” usually confusion and curiosity?"
Ti,"Are you a straightforward person who states the facts, needs time for private interests/learning, and stays out of situations that don’t involve you? Do you have difficulty understanding why people get worked up about things that seem inconsequential to you?"
Ti,"When feeling low, do you find yourself stuck on a very particular problem or feeling bored due to lack of stimulating activity? Do you find that mastering a new skill (to solve the problem) and/or setting a personal challenge to overcome easily reinvigorates you?"
Ti,"Have you ever gotten feedback about being (and/or feel sensitive to being labeled as): lazy, indifferent, oblivious, asocial, inexpressive, emotionally void/distant/unavailable, inappropriate, obnoxious, awkward, selfish, arrogant, inconsiderate?"
Ti,"focus: how variables move and imply a larger system. organizes objects based on conditionals (if-then statements). cultivated through observing how parts are related to a whole. maintains a detached and deconstructionist approach to life, constantly trying to work out how variables interact to affect the overall function or purpose of a system (trial and error)"
Ti,"values intelligence, knowledge, experience, mastering skills. driven to competently solve problems by flexibly and logically coordinating behaviors with immediate circumstances. makes decisions based on estimating probabilities (calculated risks). defines true knowledge as learning how to manipulate rules and variables to produce the best outcomes"
Ti,"knows that understanding how a system works: 1) gives individuals an advantage by knowing how to navigate the world more flexibly and effectively, 2) allows people to stabilize groups, communities, societies by carefully identifying problems and fixing them in a coherent manner, 3) can anchor the self by feeling useful in solving problems and integrating fluidly into the larger organization or society (finding purpose wherever they are needed the most), 4) reduces conflict by adjusting and refining knowledge of cause and effect to get better outcomes"
Ti,"defines social relationships in terms of “workability” (experimenting with the impact of behaviors to figure out the best actions). interprets social relationships in terms of actions that show a willingness to invest time, care, and effort. inspires people through mental agility in solving problems, especially by being calm, resourceful, and effective in difficult or complicated situations"
Ti,"Xx-doms are usually drawn to careers or interests that allow them to: identify issues, break down knowledge, and solve problems; systematically experiment with knowledge to influence outcomes; hone or refine skill sets; design, enhance, or build efficient systems; put together physical or conceptual models to understand and navigate complexity"
Ti,"have trouble connecting with people due to detached standpoint. only commit themselves when they have a personal stake in a situation. uncomfortable with feeling inadequate or ignorant. tend to overlook routine needs or social responsibilities because of excessive attention paid to dispassionate analysis"
Ti,"undervalue external structures, rules, and boundaries. tend to be noncommittal, indecisive, or procrastinate. search too long for the “perfect” answer or solution, sometimes putting off important tasks or problems until they become dire"
Ti,"difficulty understanding that making good choices involves accounting for how their own behaviors and emotions impact and intersect with the needs of everyone else involved. usually easygoing/lighthearted but can appear arrogant, rebellious, obsessive, obstinate, or critically blunt to others"
Ti,"tend to stick to certain comfort zones or one way of doing something instead of understanding things from a variety of different perspectives. tend to have difficulty describing their thought process in words (because it is more experiential than strictly analytical, with ideas always being a work in progress)"
Ti,"easily bored if they cannot integrate themselves either physically or intellectually into a situation. high pressure to appear/feel competent can lead to obsessiveness, insecurity, interpersonal conflict, unpredictable emotional outbursts. difficulty integrating knowledge that is perceived as “irrelevant” to their interests or skills"
Fe,"isn’t aware of or doesn’t care about logical fallacies/contradictions. afraid/wary of criticism; doesn’t like to be challenged on the facts. relies heavily on routine, order, structure, or organizing to function. easily confused; often suffers from conflicted feelings/emotions"
Fe,"hasty, indiscreet, meddlesome, pushy, dogmatic, ideological, overemotional, irrational, manipulative, unwilling to face up to mistakes or admit errors"
Fi,"Xx is a judging function that relies on personal feelings of congruency. Xx uses feelings to derive value judgments about good/bad . Xx uses feelings of integrity to encourage honorable character. XXXXs are naturals at honest self-appraisal, authentic self-expression. Healthy XXXXs are gentle, passionate, loyal, empathetic "
Fi,"Mature XXXXs are known for caring very deeply, so their actions always align with their values. They appreciate individual uniqueness, advocate for moral causes, and defend the vulnerable. At their best, they keep people in touch with their humanity and encourage unconditional self-acceptance."
Fi,"Immature XXXXs display the negative aspects of Xx due to being easily misled/blinded by their feelings, perhaps unable to relate to things outside of their personal experience. They tend to be moody, alienating, and even self-righteous, treating their feelings as fact and unaware of their own biases."
Fi,"Do your feelings strongly inform your approach to life, including your general attitude (positivity/negativity), your preferences (likes/dislikes/opinions), and decision making process? Flip side: Is it exceedingly difficult for you to do something when it goes against how you feel and/or what you believe is right?"
Fi,"Is it very important to you to express yourself and your feelings authentically? Do you easily become disengaged and/or dysfunctional in environments that do not allow for any personal expression/validation? Is your initial judgment of impersonal environments usually that they are “soulless”, which perhaps fuels a strong desire to express yourself creatively?"
Fi,"Are you always in touch with your feelings and perhaps even encourage others to be? Do you tend to believe that there is something “not right” about people who appear to lack feeling (because you link feeling to empathy)?"
Fi,"When feeling low, do you find your natural self-acceptance sliding away as you turn into your own worst critic? Do you need a lot of time alone to hold and nurse your feelings before you are able to do anything else?"
Fi,"Have you ever gotten feedback about being (and/or feel sensitive to being labeled as): self-absorbed, self-righteous, moralizing, (over)sensitive, fragile, passive, weak, unconfident, flighty, uncommunicative, hard to connect with, hard to reason with?"
Fi,"focus: the nature of first-hand human experience. explores the many different facets of psychological well-being. cultivated through reconciling new sense impressions with an experiential conception of “good” or “bad”. maintains a responsive and sensitive approach to life, constantly filtering experiences in a way that honors personal needs and boundaries (of self and/or others)"
Fi,"values the unconditional and universal aspects of human experience. driven to maintain a solid sense of personal integrity (by aligning the internal and external worlds whenever possible). makes decisions based on preserving harmony among inner psychological processes (thoughts, opinions, beliefs, feelings, etc.) and using personal values to understand and care for others. defines true knowledge in terms of understanding how individual experience can be universalized to reveal larger fundamental human truths and values"
Fi,"knows that respecting individual human life and experience: 1) forms the foundation of our collective identity as a society (we can judge a society based on how it treats its individual members), 2) supports and makes space for the creative expression that society needs to flourish beyond mere survival, 3) anchors the self by imbuing thoughts and actions with moral significance, 4) reduces conflict by maximizing acceptance of individual differences, promoting freedom from group/societal conditioning so that everyone can renegotiate roles, duties, needs, desires, or goals as necessary (live and let live)."
Fi,"defines social relationships in terms of “fluidity” (each individual bringing whatever they can of themselves whenever they can). interprets social relationships in terms of the degree of freedom to navigate and adjust individual needs and desires. inspires others by becoming the focal point of people’s most noble and high-minded values, especially through leading by example and providing a moral compass to steer social trends"
Fi,"Xx-doms are usually drawn to careers or interests that allow them to: do something they consider good and meaningful; express their personal values into the community at large; bring structure and meaning to their inner world (e.g. artistic or creative pursuits); find a sense of higher purpose by somehow connecting to universal human experiences; be responsive to the immediate needs or suffering of others; nurture creative self-expression in oneself or others"
Fi,"often have difficulty with fitting in due to dismissing outside standards. tend to struggle with many inner conflicts or low self-esteem. feel adrift if they cannot express their values into the world. uncomfortable with external structures, limits, regulations"
Fi,"rely too much on their own experience for interpreting external events (too subjective or even self-centered). difficulty understanding that making good choices involves using external standards and measurements of success/failure"
Fi,"difficulty solving complex or entrenched problems and overlook opportunities to make longer term changes because of being too easily influenced by ever fluctuating personal needs. can appear irrational, moody, selfish, or judgmental to others"
Fi,"can be too private, inexpressive, and hard for others to know. difficulty establishing predictable social interactions. can place unreasonably high (moral) expectations on people. easily offended if people do not share the same values (dogmatic)"
Fi,"dislike being pigeonholed or wrongly judged by others (oversensitive). high pressure to clearly define themselves and maintain their own identity, integrity, and values can lead to self-doubt, impulsive behavior, lashing out, or knee-jerk defensiveness of oneself"
Fi,"difficulty integrating knowledge that falls outside of their own personal needs and experiences"
Te,"conforming, by-the-book, inauthentic, insincere, nosy, intrusive, domineering, disrespectful, unfeeling, impersonal, amoral"
Te,"weak identity; fuzzy moral judgment; few strong personal preferences. easily puts personal values aside; able to function well even if unhappy. afraid/wary of intense feelings; often defers to/relies on others’ opinions. poor emotional awareness; believes feelings are biased/unreliable"
Te,"Xx is a judging function that relies on knowledge of external systems. Xx uses empirical data to make economical and effective decisions. Xx uses order and organization skill to achieve efficient behavior. XXXXs are naturals at identifying problems, quickly removing obstacles . Healthy XXXXs are tough, assertive, easily attain competency standards"
Te,"Mature XXXXs are known for their leadership and management skills, often serving as well-respected role models. They are always streamlining plans and increasing productivity. At their best, they never shy away from difficult decisions, take full responsibility for their choices, and handle impressively heavy workloads."
Te,"Immature XXXXs display the negative aspects of Xx due to overemphasis on “getting results”, believing that the end justifies the means and failing to see that the process of getting there is equally if not more important. They tend to be overconfident, controlling, judgmental, too proud to admit to weakness/failure, or impatiently use shortcuts that end up self-sabotaging."
Te,"Do you highly prize efficiency and goal-setting in your approach to everything in life? Flip side: Does it really bother you when problems remain unresolved or nobody steps up to properly take charge of problems?"
Te,"Is it very important to you to have the power to change what doesn’t work, correct what’s going wrong, resolve problems quickly and cleanly, and avert potential disasters? Do you always aim to keep things running as smoothly as possible and rarely meet a problem you can’t fix? Do you thrive in challenging/competitive social environments that test your mettle? "
Te,"Are you tough-minded in confronting challenges and often advise others about how to “work smart” or make sensible decisions? Do you have difficulty understanding why people make what seem to be irrational/unproductive decisions?"
Te,"When feeling low, do you find your sense of power slipping away as your emotions start to get the better of you? Do you find that pushing yourself to get up and organize, lead, strategize, or problem-solve naturally makes you feel better and gets you back on track? "
Te,"prideful, stubborn, unfeeling, unsympathetic, judgmental, blunt, hasty, abrupt, aggressive, domineering, overconfident, hypocritical, hypercritical, a bad listener"
Te,"focus: understanding external events that happen with regularity. mentally organizes objects based on how they impact each other. cultivated through analytical observation of cause and effect. maintains an actively structural approach to life, looking to adopt objective standards (collectively agreed upon) that are based on logical, sequential, or causal relationships between objects"
Te,"values maintaining standards that can be universally applied. driven to construct a dependable framework of order and stability. uses standards to manage circumstances, make plans, establish routines, organize groups or communities. makes rational decisions that seek to achieve consistent, effective, and efficient results"
Te,"defines true knowledge as standards/rules that achieve reliable and tangible predictability in the external world. knows that a strong framework of order: 1) provides a solid foundation for the continuation of society, 2) is expressed through the language of predictable behavior, 3) provides the practical foundation for freeing people to pursue higher creative interests, 4) reduces conflict by making social roles clear (instead of constantly negotiating duties)"
Te,"defines social relationships in terms of “shoulds” (each person living up to their clearly defined responsibilities). interprets social relationships through principled behaviors that signal personal integrity and respect for each other. inspires people by being the focal point of stability, especially during times of chaos or uncertainty"
Te,"Xx-doms are usually drawn to careers or interests that allow them to: be responsible for promoting, maintaining, or streamlining standards for organizational stability; identify, describe, and solve problems; treat people fairly and impartially; bring people together by defining clear goals and procedures; calmly manage crisis situations"
Te,"have trouble living in the moment without judgment. rely too much on external sources for moral direction and constructing the sense of self. uncomfortable with ambiguity, unpredictability, or unknowns. tend to dismiss individual needs or priorities as selfish and focus too much on obligations in the external world; need to rationalize/justify behaviors that are done for oneself"
Te,"difficulty understanding that making good choices always involves some form of personal subjectivity or knowledge of the subjective experiences of other people. can appear negative, controlling, or overly critical to others"
Te,"difficulty reexamining/readjusting standards that have been “universalized” (e.g. inadvertently use standards based on small sample sizes or unrepresentative samples). often cannot see that there is more than one way to establish order (inflexible)"
Te,"require people to adhere to standards/rules (coercive). tend to overgeneralize standards of human relationship, ignoring context and individual needs/differences (insensitive). difficulty seeing that unquestioned standards can enshrine bias, prejudice, or discrimination (privilege blindness)"
Te,"can overburden themselves with managerial-like responsibilities. high pressure to conform to objective standards can lead to eruptions of irresponsible, impulsive, or self-indulgent behaviors (or even secret lives on the side). difficulty integrating knowledge that cannot be measured or quantified"
